Food ID	Food name	Energy (kJ)	Protein (g)	Fat, total (g)	Fat, saturated (g)	Available carbohydrate (g)	Total sugars (g)	Sodium (mg)
01A10053	Beer, lager	154	0.3	0	0	2	0.1	7
01A10056	Beer, reduced alcohol or light beer	106	0.3	0	0	2.3	0.1	6
01A10062	Beer, alcohol free	34	0.2	0	0	1.8	0.7	6
01A10064	Beer, ale	150	0.4	0	0	1.4	0	10
01A10065	Beer, bitter	155	0.3	0	0	2.2	0.3	9
01A10066	Beer, home-brewed	154	0.5	0	0	2	0.2	8
01A10068	Beer, carbohydrate-modified	122	0.2	0	0	0.9	0	7
01A10069	Beer, stout	225	0.6	0	0	3	0.1	12
01A10071	Beer, reduced alcohol or light beer, home-brewed	109	0.5	0	0	2.2	0.1	6
01A10072	Beer, low alcohol (less than 1% alcohol v/v)	43	0.2	0	0	1.1	0	6
01A10073	Beer, draught	132	0.3	0	0	1.9	0.2	7
01A20023	Wine, fortified, dry	517	0.2	0	0	4.1	4.1	9
01A20025	Wine, green ginger	364	0.2	0	0	2.6	2.6	26
01A20072	Wine, red	195	0.4	0	0	0	0	11
01A20073	Wine, rose	286	0.2	0	0	1.8	1.8	23
01A20075	Wine, red, cooked	98	0.2	0	0	0	0	11
01A20076	Wine, white, dry (sugars content less than 1%)	195	0.3	0	0	0.5	0.5	24
01A20077	Wine, white, medium dry (sugars content approximately 1%)	195	0.2	0	0	1.3	1.3	24
01A20078	Wine, white, medium sweet (sugars content approximately 2.5%)	278	0.2	0	0	2.6	2.6	26
01A20081	Wine, white, cooked	109	0.2	0	0	1.2	1.2	24
01A20086	Sherry (fortified wine), dry (sugars content approximately 1%)	437	0.1	0	0	1.2	1.2	19
01A20087	Sherry (fortified wine), sweet (sugars content approximately 11%)	589	0.2	0	0	11.1	11.1	18
01A20088	Port (fortified wine)	613	0.2	0	0	12.4	12.4	15
01A20092	Wine, red, sparkling	331	0.2	0	0	2	2	10
01A20097	Wine, white, sparkling	275	0.2	0	0	1	1	10
01A20102	Wine, white, reduced alcohol	171	0.2	0	0	1.1	1.1	24
01A20103	Wine, red, reduced alcohol	153	0.2	0	0	0	0	11
01A20104	Wine, white, sparkling, de-alcoholised	26	0.2	0	0	1	1	10
01A20105	Wine & fruit juice blend (wine cooler), all flavours	224	0.1	0	0	7.6	7.6	19
01A20106	Wine, white, sweet dessert	430	0.2	0	0	10	10	26
01A30021	Liqueur, clear, coffee flavour	1438	0.1	0.3	0.1	46.8	39	8
01A30024	Liqueur, less than 30% v/v alcohol	1116	0.1	0.3	0	34	34	11
01A30025	Liqueur, greater than 30% v/v alcohol	1586	0.1	0.3	0	41	41	5
01A30047	Cider, white (greater than 6% v/v alcohol)	243	0	0	0	3.1	3.1	15
01A30048	Beverage, alcoholic, bitters	898	0	0	0	0.3	0.3	2
01A30109	Brandy	898	0	0	0	0.3	0.3	2
01A30110	Whisky	892	0	0	0	0	0	1
01A30113	Rum, dark & light coloured	887	0	0	0	0	0	2
01A30114	Vodka	886	0	0	0	0.1	0.1	10
01A30115	Liqueur, cream-based, coffee flavour	1384	2.8	15.7	10.3	20.9	20.8	92
01A30120	Alcoholic soda, vodka & lemonade based	188	0	0	0	8.4	8.4	16
01A30121	Alcoholic soda, bourbon & cola based	185	0	0	0	8.4	8.4	11
01A30122	Alcoholic soda, rum & cola based	185	0	0	0	8.4	8.4	11
01A30126	Saki, rice wine	376	0.5	0	0	0.1	0.1	2
01A30129	Gin	899	0	0	0	0	0	1
01A30130	Ouzo	886	0	0	0	0.1	0.1	10
01A30133	Liqueur, advocaat	1040	4.2	5.8	2.7	24.4	24.4	90
01A30135	Liqueur, cream-based, non-coffee flavours	1401	2.9	16.2	10	21.5	21.4	5
01A30136	Cider, apple, alcoholic, draught	191	0	0	0	4.4	4.4	18
01A30137	Cider, apple, alcoholic, dry	165	0	0	0	3.1	3.1	15
01A30138	Cider, apple, alcoholic, sweet	229	0	0	0	6.9	6.9	22
01B10020	Tea, black, from instant	3	0.1	0	0	0	0	4
01B10061	Beverage base, meal replacement powder, coffee flavour	1526	19.3	1.5	1	63.1	48.7	160
01B10162	Tea, regular, brewed from leaf or teabags, without milk	6	0.1	0.1	0	0	0	4
01B10163	Tea, herbal, without milk	6	0.1	0.1	0	0	0	0
01B10164	Coffee, from ground coffee beans, long black style, without milk	4	0.1	0	0	0.1	0.1	2
01B10165	Coffee, from instant coffee powder, without milk	5	0.1	0	0	0.1	0	4
01B10166	Coffee, from ground coffee beans, Turkish style, added sugar, without milk	151	1.4	0.1	0	6.6	5.5	5
01B10168	Coffee, instant, dry powder or granules	628	16.1	0.6	0.2	10.1	0.1	19
01B10172	Cereal beverage, powder or granules	1532	4.3	1.1	0.4	80	7.7	81
01B10174	Coffee & chicory essence, concentrate	944	1.6	0.2	0.1	53.5	51.5	65
01B10176	Water, tap	0	0	0	0	0	0	0
01B10177	Water, bottled, non-sparkling	0	0	0	0	0	0	1
01B10181	Beverage base, meal replacement powder, chocolate flavour, added vitamins & minerals	1581	21.3	2.1	1.3	63.6	49.1	230
01B10182	Beverage base, sports supplement powder, vanilla flavour, added vitamins & minerals	1598	24	2	0.1	65.6	65.6	250
01B10184	Beverage base, chocolate flavour (e.g. Ovaltine)	1598	7.3	1.9	1.1	81.4	47	170
01B10186	Beverage base, drinking chocolate	1651	5.6	4.8	2.9	80.3	74.3	160
01B10187	Beverage base, chocolate flavour (Nesquik brand)	1679	4.7	3.4	2	84.3	82.3	20
01B10188	Beverage base, chocolate flavour, with milk solids	1506	18.7	3.3	2	62.2	57.5	111
01B10189	Beverage base, chocolate flavour, with milk solids, intense sweetened	1505	43.6	3.3	2	37.2	32.5	176
01B10190	Cocoa powder	1493	19.1	14.3	8.6	24.3	0.9	259
01B10191	Beverage base, malted milk powder	1596	11.7	7.2	3.3	66.5	43.7	370
01B10193	Coffee, from ground coffee beans, espresso style, without milk	9	0.1	0.2	0.1	0	0	14
01B10195	Beverage base, chocolate flavour, from drinking straw	1604	4.1	3	1.8	80.9	48.3	57
01B10196	Beverage base, banana, caramel or strawberry flavour, from drinking straw	1624	0.2	0	0	95.1	55.4	4
01B10198	Drink, probiotic, contains milk solids & sugar	332	1.5	0	0	18	18	17
01B10199	Beverage base, caramel, honeycomb or strawberry flavour (Nesquik brand)	1695	0	0	0	99.7	98	0
01B10201	Beverage base, malt flavour (e.g. Milo Malt)	1793	11.9	9.3	6.2	72.5	45	240
01B10203	Beverage base, banana or vanilla flavour (Nesquik brand)	1690	0	0	0	99.4	98	10
01B10212	Beverage base, sports supplement powder, chocolate flavour, added vitamins & minerals	1598	24	2	0.1	65.6	65.6	250
01B10219	Beverage base, oral supplement powder, vanilla flavour, added vitamins & minerals	1636	18.2	5.5	3.6	64.3	57.8	182
01B10220	Beverage base, oral supplement powder, chocolate flavour, added vitamins & minerals	1643	18.6	5.5	3.6	64.3	57.8	182
01B10225	Tea, barley, without milk	20	0.1	0	0	0.9	0	1
01B10239	Beverage, banana or similar flavour, from base (Nesquik brand), with water	96	0	0	0	5.6	5.5	1
01B10241	Drink, probiotic, contains milk solids & sugar, reduced sugar, light style	196	1.5	0	0	10	10	17
01B10251	Beverage base, chocolate flavour (e.g. Aktavite)	1524	4.4	1.9	1.3	79.2	62.8	168
01B10254	Beverage, drinking chocolate, from chocolate powder, with water	115	0.4	0.3	0.2	5.6	5.2	11
01B10259	Beverage, sports supplement, chocolate flavour, purchased ready to drink	273	8	0.4	0.3	7.1	4.2	45
01B10281	Beverage base, chocolate flavour (e.g. Milo)	1714	12.7	10.4	6.6	61.2	47.3	75
01B10290	Coffee whitener, dry powder	2328	4.8	35.5	32.5	54.9	54.9	181
01B20020	Cordial base, rosehip	731	0.1	0	0	42.9	42.8	205
01B20029	Fruit drink, grape	249	0	0	0	14.6	14.6	6
01B20030	Fruit drink, grapefruit	161	0.1	0	0	9.3	9.3	4
01B20031	Fruit drink concentrate, lemon	683	0.7	0.2	0	39	39	14
01B20036	Fruit drink concentrate, orange	644	0.5	0	0	37.2	37.2	28
01B20053	Fruit drink, guava nectar	244	0.2	0.2	0	13.7	13.7	4
01B20054	Fruit drink, mango nectar	245	0.4	0.1	0	13.9	13.7	3
01B20056	Fruit drink, passionfruit nectar	175	1	0.1	0	9	9	9
01B20057	Fruit drink, peach nectar	239	0.3	0	0	13.7	13.7	3
01B20069	Drink, fruit flavoured, from powdered drink base, intense sweetened	0	0	0	0	8.9	0	21
01B20072	Cordial base, 40% non-citrus fruit juice, sweetened	634	0	0	0	37.3	37.3	14
01B20087	Water, mineral, fruit flavours, sweetened	158	0	0	0	9.3	9.3	15
01B20090	Sports drink, from concentrated liquid base, all flavours, recommended dilution	116	0	0	0	6.8	6.8	38
01B20215	Fruit drink, 35% apple juice	191	0	0	0	11.2	11.2	3
01B20219	Fruit drink, 35% pineapple juice	194	0.1	0	0	11.2	11.2	0
01B20230	Cordial base, 25% blackcurrant fruit juice	799	0.1	0	0	46.2	46.2	14
01B20231	Cordial base, 25% citrus fruit juice	592	0	0	0	34.2	34.2	12
01B20233	Cordial base, 40% citrus fruit juice	703	0.2	0	0	40.2	40.2	43
01B20235	Cordial base, 25% citrus fruit juice, intense sweetened	20	0	0	0	1.2	1.2	3
01B20236	Cordial base, 25% non-citrus fruit juice, intense sweetened	20	0	0	0	1.2	1.2	2
01B20237	Soft drink, cola flavour	152	0	0	0	8.8	8.8	11
01B20239	Soft drink, ginger ale, creamy soda or other non-fruit flavours	152	0	0	0	8.8	8.8	5
01B20241	Soft drink, tea flavour	191	0	0	0	11.1	11.1	13
01B20243	Water, mineral, with 5% citrus fruit juice	160	0	0	0	9.3	9.3	15
01B20244	Water, mineral, fruit flavours, intense sweetened	6	0	0	0	0.2	0.2	15
01B20245	Sports drink, ready to drink, all flavours	114	0	0	0	6.7	6.7	33
01B20246	Soft drink, lemonade, intense sweetened	2	0	0	0	0	0	14
01B20247	Soft drink, fruit flavours, intense sweetened	2	0	0	0	0	0	11
01B20248	Soft drink, ginger ale, creamy soda or other non-fruit flavours, intense sweetened	2	0	0	0	0	0	11
01B20250	Soft drink, cola flavour, intense sweetened	2	0	0	0	0	0	11
01B20252	Water, carbonated or soda	2	0	0	0	0	0	21
01B20253	Water, mineral, natural, unflavoured	2	0	0	0	0	0	8
01B20257	Fruit drink, 35 - 50% apricot juice	230	0.3	0	0	12.9	12.9	4
01B20260	Fruit drink, 25% apple juice	173	0	0	0	9.8	9.8	7
01B20267	Drink, fruit flavoured, dry base	1689	0	0	0	98.6	95.7	5
01B20268	Drink, fruit flavoured, dry base, reduced sugar	1513	0	0	0	84.4	82.2	265
01B20270	Drink, fruit flavoured, from powdered drink base	119	0	0	0	6.9	6.7	0
01B20271	Water, sports type	0	0	0	0	0	0	1
01B20275	Soft drink, energy drink	201	0.4	0	0	11.4	11.4	80
01B20276	Soft drink, energy drink, intense sweetened	7	0.4	0	0	0	0	80
01B20279	Fruit drink, 35% mango juice	225	0.3	0.1	0	12.3	12.2	1
01B20280	Cordial base, ginger flavoured, 1% ginger	630	0	0	0	37	37	1
01B20281	Fruit drink, 25% citrus juice	167	0.1	0	0	9.3	9.3	7
01B20284	Cordial base, 25% blackcurrant fruit juice, intense sweetened	269	0.1	0	0	15	15	14
01B20288	Fruit drink, 35% guava juice	232	0.2	0.2	0	11.7	11.7	2
01B20294	Fruit drink, 5% non-citrus juice (apple, pear etc.), sweetened	178	0	0	0	10.4	10.4	2
01B20297	Fruit drink, cranberry juice	218	0.4	0.1	0	12.1	12.1	2
01B20298	Fruit drink, cranberry juice, intense sweetened	46	0.4	0.1	0	2	2	2
01B20300	Fruit drink, 6% blackcurrant juice, intense sweetened	39	0	0	0	2.2	2.2	2
01B20301	Fruit drink, 40% kiwifruit nectar	198	0.4	0.2	0	10.4	10.2	2
01B20305	Juice, from concentrate, blackcurrant, diluted weaker than usual	163	0	0	0	9.5	9.5	1
01B20306	Juice, from concentrate, blackcurrant, diluted stronger than usual	295	0	0	0	17.3	17.3	2
01B20307	Fruit drink, 5% citrus juice, sweetened	176	0	0	0	10.3	10.3	1
01B20313	Fruit drink, 25% blackcurrant juice	208	0	0.1	0	12	12	2
01B20316	Water, non-sparkling, added sugar & flavour	34	0	0	0	2	2	1
01B20321	Sports drink, powder, all flavours	1385	0	0	0	76.2	76.2	371
01B20322	Cordial base, blackcurrant syrup	799	0.1	0	0	46.2	46.2	14
01B20326	Fruit drink, 35% orange juice	189	0.2	0	0	10.4	10.4	8
01B20330	Fruit drink, from dry base, recommended dilution	151	0	0	0	8.9	8.9	6
01B20338	Soft drink, lemonade	143	0	0	0	8.3	8.3	16
01B20341	Soft drink, tonic water	151	0	0	0	8.8	8.8	6
01B20349	Soft drink, ginger ale, creamy soda or other non-fruit flavours, intense sweetened	2	0	0	0	0	0	11
01B20350	Soft drink, tonic water, intense sweetened	2	0	0	0	0	0	0
01B20354	Soft drink, energy drink	195	0.1	0	0	10.8	10.8	71
01B20357	Soft drink, orange flavour	154	0	0	0	9	9	14
01B20358	Soft drink, lemon flavour	160	0	0	0	9.3	9.3	13
01B20360	Fruit drink, 25% orange juice	189	0.2	0	0	10.4	10.4	9
01B30031	Juice, lemon, home squeezed	109	0.7	0.2	0	2.6	2.6	3
01B30039	Juice concentrate, orange, sweetened	594	2.3	0	0	32	32	6
01B30047	Juice, watermelon	98	0.3	0.2	0	5	5	2
01B30165	Juice, blackcurrant	153	0.1	0.4	0.1	8	8	6
01B30166	Juice, grape	236	0.2	0	0	13.4	13.4	13
01B30167	Juice, grapefruit	130	0.5	0.1	0	6	6	5
01B30168	Juice, lemon	97	0.7	0.2	0	4.6	4.6	3
01B30169	Juice, lime	107	0.8	0.2	0	1.2	1.2	3
01B30170	Juice, orange, home squeezed	148	0.5	0.1	0	7.3	7.3	6
01B30172	Juice, orange, sweetened	158	0.6	0	0	8.2	7.9	3
01B30173	Juice concentrate, orange	527	2	0	0	27.3	26.5	11
01B30174	Juice, pear	169	0.3	0.1	0	9.4	9.4	2
01B30175	Juice, pineapple	196	0.3	0.1	0	10.3	10.3	1
01B30176	Juice, pineapple, sweetened	232	0.3	0.1	0	12.3	12.3	1
01B30177	Juice, carrot	115	0.8	0.1	0	5.3	5.1	45
01B30179	Juice, tomato, salted	80	0.7	0	0	3.3	2.3	220
01B30180	Juice, tomato, salted, sweetened	97	0.7	0	0	4.3	3.3	220
01B30189	Juice, apple, added vitamins C, E & folate & fibre	132	0.1	0	0	7	7	7
01B30201	Juice, orange, pulp free	126	0.7	0	0	5.9	5.9	3
01B30220	Cider, apple, non-alcoholic	184	0	0	0	10.6	10.6	22
01B30224	Juice, prune	231	0.6	0	0	11.6	11	4
01B30234	Juice, orange, high pulp	133	0.7	0	0	5.9	5.9	3
01B30247	Juice concentrate, apple	514	0.3	0	0	28.5	28.5	25
01B30255	Juice, apple, added vitamin C & fibre	160	0.1	0	0	8.6	8.6	7
01B30262	Juice, apple, thickened	290	0.1	0	0	16.6	8.6	8
01B30266	Juice, mangosteen	154	0.1	0	0	8.6	8.6	7
01B30268	Juice, apple, home squeezed	154	0.1	0	0	8.6	8.6	7
01B30274	Juice, berry, home squeezed	87	1.7	0.1	0	2.7	2.7	6
01B30279	Juice, wheatgrass	75	1.8	0.2	0	1.3	1	16
01B30282	Juice, goji	154	0.1	0	0	8.6	8.6	7
01B30297	Juice, celery	43	0.6	0.1	0	1.2	1.2	88
01B30311	Juice, grape, sparkling, white, non-alcoholic	245	0.2	0	0	13.7	13.7	7
01B30312	Juice, apple, sparkling	182	0	0	0	10.3	10.3	5
01B30317	Juice, orange, shelf stable	130	0.7	0	0	6.3	6.3	3
01B30319	Juice, orange	120	0.8	0	0	5.4	5.4	2
01B30320	Juice, apple, shelf stable	130	0.2	0	0	7	7	6
01B40002	Drink, fruit flavoured, dry base, sweetened	1581	0	0	0	93	93	6
02A10036	Barley, quick cooked, cooked, no added salt or fat	473	3.1	0.9	0.2	21.1	0	14
02A10038	Buckwheat groats, cooked, no added salt or fat	413	3.4	0.6	0.1	19.2	0.5	4
02A10049	Oats, with added oat bran, raw	1596	11.4	8.4	1.5	60.6	0.3	3
02A10051	Sago, dry	1453	0	0.4	0.1	84.4	0	1
02A10058	Barley bran, unprocessed	1353	12	4.1	0.5	50	5.8	70
02A10083	Lasagne sheets, white, dry	1452	11.2	1.1	0.2	70.3	0	5
02A10084	Lasagne sheets, wholemeal, dry	1401	12.4	2.2	0.3	60.6	0	11
02A10088	Noodle, rice, fresh, cooked with no added salt or fat	417	2	0.4	0	21.4	0	14
02A10100	Noodle, wheat, egg, Asian style, dry	1487	12.8	1.5	0.3	70.2	0	13
02A10101	Noodle, wheat, egg, Asian style, fresh, uncooked	1095	9.4	1.1	0.2	51.7	0	10
02A10102	Noodle, wheat, egg, Asian style, boiled with added salt, no added fat	562	5.3	0.6	0.1	25.6	0	68
02A10214	Barley, pearl, raw	1357	8	2.4	0.4	61.2	0.7	15
02A10215	Barley, pearl, boiled with no added salt or fat	375	2.4	0.7	0.1	16.6	0	11
02A10216	Buckwheat groats, raw	1511	11.7	2.7	0.6	66.4	1.4	11
02A10220	Cornmeal (polenta), raw	1406	8.1	2	0.3	68.9	0.6	1
02A10221	Cornmeal (polenta), cooked in water with no added salt or fat	448	2.6	0.6	0.1	21.9	0.2	0
02A10222	Millet, raw	1489	11.1	4.2	0.7	63.3	0.4	5
02A10224	Oats, rolled, raw	1572	11	8.7	1.5	58.1	0	7
02A10225	Oats, rolled, boiled, no added salt	273	2	1.4	0.2	10.2	0	1
02A10226	Rice, brown, raw	1538	7.2	2.4	0.4	76.5	0.7	5
02A10228	Rice, brown, boiled, no added salt	639	2.9	1	0.2	31.8	0.3	3
02A10229	Rice, white, raw	1470	6.3	0.5	0.1	78.8	0.2	5
02A10235	Rice, wild, boiled, no added salt	426	4	0.3	0.1	19.5	0.7	3
02A10236	Tapioca, pearl or seed style, raw	1458	0	0.2	0	85.3	0	1
02A10237	Tapioca, pearl or seed style, boiled	160	0	0	0	9.1	0	13
02A10238	Oats, bran, unprocessed	1510	16.1	7	1.3	50	1.4	4
02A10239	Rice bran, extruded or low processed	1649	14.1	20.4	2.9	26.5	6.5	8
02A10240	Wheat bran, unprocessed	1122	16.7	4.6	0.7	18.3	2	18
02A10241	Wheat germ	1396	24.4	7	1	33.9	7.5	10
02A10246	Noodle, rice, boiled with no added salt	365	1.6	0.3	0.1	19	0	14
02A10247	Noodle, wheat, Asian style	608	6.3	1	0.4	26.5	0	100
02A10250	Pasta, non-wheat cereal based, boiled with no added salt	503	2.6	0.7	0.1	23.1	0	0
02A10251	Pasta, white wheat flour-based, dry (regular pasta)	1474	11.2	1.7	0.3	70.3	0	5
02A10256	Pasta, wholemeal wheat flour based, boiled from dry with no added salt	538	4.7	0.7	0.1	22.8	0	5
02A10257	Pasta, white wheat flour with egg, dry	1479	12.7	1.5	0.3	69.8	0	13
02A10259	Pasta, white wheat flour with egg, boiled from dry with no added salt	601	5.7	0.6	0.1	27.4	0	3
02A10264	Pasta, white wheat flour & spinach, boiled with no added salt	555	3.8	0.4	0.1	27.3	0.2	15
02A10265	Rice porridge (congee), simmered, no added fat or salt	158	0.7	0.1	0	8.5	0	1
02A10266	Noodle, wheat, Asian style, boiled with no added salt	235	2.4	0.4	0.2	10.2	0	12
02A10268	Noodle, wheat, instant, boiled without flavour sachet, undrained	249	1.8	0.4	0.1	11.6	0	1
02A10269	Noodle, wheat, instant, boiled with flavour sachet, undrained	265	1.8	1	0.1	11.4	0	229
02A10270	Noodle, wheat, instant, uncooked, without flavour sachet	1496	11.1	2.7	0.4	69.6	0	5
02A10271	Pasta, white wheat flour & other coloured ingredients, boiled from dry with no added salt	578	3.8	0.3	0.1	28.4	0	3
02A10272	Noodle, wheat, instant, low fat, boiled with flavour sachet, drained	590	3.9	1	0.1	27	0	291
02A10273	Noodle, wheat, instant, uncooked, with flavour sachet	1507	10.4	5.5	0.8	64.9	0	1303
02A10274	Noodle, wheat, instant, low fat, boiled with flavour sachet, undrained	332	2.2	0.3	0	15	0	291
02A10275	Pasta, white wheat flour & soy flour, boiled from dry with no added salt	578	3.8	0.3	0.1	28.4	0	3
02A10276	Barley, wholegrain, raw	1391	12.5	2.3	0.4	56.2	0.8	12
02A10277	Pasta or noodles, buckwheat flour, boiled with no added salt	538	4.7	0.7	0.1	22.8	0	5
02A10279	Millet, puffed	1489	11.1	4.2	0.7	63.3	0.4	5
02A10280	Oats, puffed	1572	11	8.7	1.5	58.1	0	7
02A10282	Quinoa, cooked in water	464	3.9	1.7	0.2	18.8	0.3	6
02A10289	Millet, boiled, no added fat or salt	489	3.5	1	0.2	22.5	0.1	2
02A10292	Bulgur (burghul, burgaul), soaked in water, no added fat or salt	665	5.4	0.9	0.1	28.3	0.4	2
02A10293	Bulgur (burghul, burgaul), boiled, no added fat or salt	341	2.6	0.4	0.1	15.2	0	9
02A10301	Pasta, wholemeal wheat flour based, dry	1395	11.7	2.2	0.3	60.9	0	11
02A10307	Noodle, wheat, instant, flavoured, boiled, drained	778	3.9	8	3.6	22.8	0	291
02A10314	Rice, purchased as parboiled (gold rice), raw	1516	6.6	1.2	0.2	78.7	0.8	5
02A10315	Pasta, white wheat flour & spinach, dry	1528	11.9	1.3	0.2	73.1	2.7	38
02A10317	Bulgur (burghul, burgaul), dry	1349	9.9	1.7	0.3	60.1	0.8	15
02A10319	Rice, wild, raw	1508	14.7	1.1	0.1	68.7	2.5	7
02A10320	Pasta, white wheat flour, fresh, uncooked	1221	9.6	3.4	0.4	53.4	4.9	240
02A10321	Pasta, maize flour (corn) based, dry	1453	7.5	2.1	0.3	68.3	0	3
02A10322	Pasta, white wheat flour, fresh, boiled, no added salt	692	5.9	3	0.4	27.1	1.1	78
02A10323	Pasta, white wheat flour, boiled from dry, no added salt	510	5.1	0.1	0	23.8	0.2	4
02A10327	Rice, white, boiled, no added salt	671	2.7	0.1	0	36	0.1	3
02A10328	Rice, purchased as parboiled (gold rice), boiled, no added salt	513	2.1	0.4	0.1	26.8	0.3	3
02A10336	Noodle, wheat, instant, flavoured, dry	2079	4.7	23.6	10.7	65.5	1.6	938
02A20022	Custard powder, dry	1442	0.1	0.5	0.1	83.4	0.1	11
02A20057	Flour, cornflour, from maize & wheat starch	1454	0.1	0.5	0.1	84.1	0.1	11
02A20058	Flour, rice, white	1528	5.7	1.4	0.3	80.7	0.5	2
02A20059	Flour, rye, wholemeal	1322	12	2.3	0.3	55	1.4	4
02A20060	Flour, wheat, white, high protein or breadmaking flour	1492	11.3	1.2	0.2	72	0.1	2
02A20061	Flour, wheat, white, plain	1498	10.8	1.2	0.2	73	0	2
02A20062	Flour, wheat, white, self-raising	1484	10.8	1.2	0.2	72.1	0	695
02A20064	Flour, wheat, wholemeal, plain	1472	11.4	2.1	0.3	65.3	0.9	5
02A20065	Flour, wheat, wholemeal, self-raising	1459	10.6	2.1	0.3	65.3	0.9	655
02A20067	Starch, maize	1530	0.4	0.1	0	89.2	0.8	9
02A20068	Flour or powder, carob	1255	4.6	0.6	0.1	49.1	49.1	35
02A20069	Flour, gluten free, self raising	1490	1.3	0.4	0.1	85.4	0.5	661
02A20071	Semolina, raw	1361	9.8	1.2	0.2	66.2	0	4
02A20072	Couscous, raw	1492	11.6	0.6	0.1	72.4	0	10
02A20073	Couscous, boiled, no added salt	663	5.2	0.3	0	32.2	0	4
02A20076	Flour, arrowroot	1453	0.1	0.2	0	84.5	0	2
02A20083	Flour, chick pea (besan)	1409	19.7	5.4	0.6	46.4	2.6	39
02A20089	Flour, maize	1533	8.1	3.6	0.5	69.6	0.6	5
02A20090	Flour, millet	1401	8.3	2.9	0.5	63.8	1.3	13
02A20091	Flour, sorghum	1476	10.9	3.2	0.4	66.1	1.1	6
02A20092	Flour, amaranth	1483	14.4	6.1	1.6	55.4	2.1	14
02A20093	Flour, buckwheat	1440	12	3.4	0.7	60.6	3	5
02A20094	Flour, triticale, whole-grain	1403	13.2	1.8	0.3	58.5	7.7	2
02A20095	Flour, maize, high amylose	1372	14	8	1.1	37.6	0.4	5
02A20096	Flour, quinoa	1510	13.5	6.3	0.6	58.3	0.1	19
02A20097	Flour, rice, brown	1487	7.4	2.8	0.6	71.9	1	8
02A30008	Noodle, bean starch or cellophane, boiled, no added salt	444	0.1	0	0	25.3	0.6	3
02A30014	Pasta, white wheat flour & soy protein, reduced carbohydrate, dry	1475	28.4	4.1	0.5	46.2	9.9	393
02A30015	Pasta, white wheat flour & soy protein, reduced carbohydrate, boiled from dry with no added salt	559	10.8	1.6	0.2	17.5	3.8	45
02B10044	Bread, white, no added salt, toasted	1219	10	3.1	0.4	53.4	2.7	17
02B10052	Bread, yeast free	1087	10.7	1	0.2	48.8	4.7	1079
02B10053	Bread, yeast free, toasted	1310	12.9	1.2	0.2	58.8	5.7	1300
02B10056	Bread roll, sour dough	1241	9.3	4	0.6	52.6	4.6	593
02B10061	Bread roll, damper	1224	9	3.8	0.5	53	4	570
02B10062	Pizza base, thick	1224	9	3.8	0.5	53	4	570
02B10066	Breadcrumbs, fresh, from white bread	1574	14.1	3.7	0.7	68.3	4.6	702
02B10073	Bread, oatmeal, no added salt	992	8.1	3.3	0.5	40.5	2.4	14
02B10074	Bread, oatmeal, no added salt, toasted	1195	9.8	4	0.6	48.8	2.9	17
02B10079	Bread, from wholemeal flour, reduced salt	973	10.3	2	0.3	39.5	1.5	235
02B10080	Bread, from wholemeal flour, reduced salt, toasted	1172	12.4	2.4	0.3	47.6	1.8	283
02B10089	Bagel, from wholemeal flour	1066	11.9	1.3	0.2	45.5	5.1	481
02B10090	Bagel, from wholemeal flour, toasted	1184	13.2	1.5	0.2	50.6	5.7	535
02B10095	Bread roll, from rye flour, light	1259	9.6	4.1	0.6	52.2	5.2	616
02B10096	Bread, black	1020	7.8	1.8	0.3	44.4	3.5	630
02B10097	Bread, black, toasted	1134	8.7	2.1	0.3	49.4	3.9	700
02B10112	Bread, lavash (lavosh or lahvosh), white	1171	9.1	2	0.3	54	3.3	450
02B10113	Bread, lavash (lavosh or lahvosh), wholemeal	1110	8.4	2.2	0.4	49	3.2	470
02B10123	Matzo	1605	10.5	1.9	0.2	78.2	4	17
02B10170	Bread mix, commercial, white flour	1453	9.6	1.8	0.9	70.1	0.6	555
02B10171	Bread mix, commercial, increased fibre & grain	1509	10.1	2.8	0.5	69.9	0.1	585
02B10172	Bread mix, commercial, white flour, crusty style	1461	10.5	1.4	0.4	70.6	0.3	620
02B10226	Bread, gluten free (from rice/corn or tapioca flour), commercial	1036	7.1	4.4	0.8	42.8	6.4	502
02B10227	Bread, gluten free (from rice/corn or tapioca flour), commercial, toasted	1204	8.3	5.1	0.9	49.8	7.4	584
02B10235	Bread, pizza base, commercial	1022	7.2	2.2	0.4	46.7	5.1	326
02B10236	Breadcrumbs, white, commercial	1504	12.5	3.6	0.8	66.2	4.4	680
02B10255	Bread, from rye flour, light	1059	9	2.4	0.5	45.6	2.2	429
02B10256	Bread, from rye flour, light, toasted	1276	10.8	2.9	0.6	55	2.7	516
02B10257	Bread, from rye flour, dark	978	8.2	2.1	0.4	41.4	2.5	530
02B10258	Bread, from rye flour, dark, toasted	1178	9.9	2.5	0.4	49.9	3.1	639
02B10266	Bread, naan, Indian restaurant style	1217	8	8.6	2	43.5	12.2	95
02B10273	Bread, from white or wholemeal flour, soy & linseed	1031	13.5	5.9	0.8	31	5.9	450
02B10274	Bread, from white or wholemeal flour, soy & linseed, toasted	1146	15	6.6	0.9	34.5	6.6	500
02B10275	Bread, foccacia or Turkish style bread, plain	1054	8.9	3.3	0.6	44.7	2.4	596
02B10279	Bread, flat (pita or Lebanese), white, toasted	1355	10.7	2.5	0.5	61.9	4	531
