Food ID	Food name	Energy (kJ)	Protein (g)	Fat, total (g)	Fat, saturated (g)	Available carbohydrate (g)	Total sugars (g)	Sodium (mg)
13A11195	Squash, button, raw	126	2.7	0.2	0	3.2	2.9	1
13A11196	Squash, button, boiled, no added salt, drained	150	3.2	0.2	0	3.8	3.5	1
13A11197	Squash, scallopini, raw	86	2.2	0.2	0	2.1	2	9
13A11199	Swede, peeled, raw	97	0.9	0	0	3.7	3.4	12
13A11200	Swede, peeled, boiled, no added salt, drained	104	1	0	0	4	3.7	12
13A11201	Sweet potato, orange flesh, peeled, raw	293	1.9	0.1	0	14.1	5.6	10
13A11202	Sweet potato, orange flesh, peeled, baked, no added fat	358	2.3	0.1	0	17.2	6.8	12
13A11203	Sweet potato, orange flesh, peeled, boiled, no added salt, drained	316	2	0.1	0	15.2	6	10
13A11204	Sweetcorn, fresh on cob, raw	399	3.9	1.9	0.2	12.5	3.7	3
13A11205	Sweetcorn, fresh on cob, boiled, no added salt, drained	447	4.2	2.8	0.3	12.8	5.3	105
13A11206	Sweetcorn, baby, canned in brine, heated, drained	107	1.6	0.2	0.1	2.5	1.6	350
13A11208	Sweetcorn, canned in brine, drained	394	2.9	1	0.1	16.8	3.5	261
13A11210	Sweetcorn, kernels, purchased frozen, raw	394	3	0.9	0.1	16.8	3	5
13A11211	Sweetcorn, kernels, purchased frozen, boiled, no added salt, drained	455	3.1	0.9	0.1	19.9	2.6	8
13A11213	Taro, peeled, raw	471	1.9	0.2	0	23.4	1.1	6
13A11214	Taro, peeled, boiled, no added salt, drained	506	2	0.2	0	25.2	1.2	6
13A11215	Tomato paste, with added salt	296	3.1	0.3	0.1	10.4	9.9	630
13A11216	Tomato, cherry, raw	69	0.5	0.1	0	2.2	2.2	10
13A11217	Tomato, common, raw	78	1	0.1	0	2.4	2.3	8
13A11220	Tomato, sun-dried, in canola oil	1153	11.2	4.6	0.3	35.2	33.9	73
13A11221	Tomato, whole, canned in tomato juice	83	0.7	0.1	0	2.9	2.9	68
13A11222	Tomato, whole, canned in tomato juice, drained	93	0.8	0.3	0.1	3	3	86
13A11223	Tomato, whole, canned in tomato juice, boiled	99	0.8	0.3	0	3.3	3.3	67
13A11224	Tomato, whole, canned in tomato juice, boiled, drained	98	0.9	0.1	0	3.5	3.4	69
13A11225	Turnip, white, peeled, raw	98	1.3	0	0	3.4	3.2	24
13A11226	Turnip, white, peeled, boiled, no added salt, drained	106	1.4	0	0	3.6	3.4	25
13A11230	Zucchini, green skin, raw	63	0.8	0.3	0	1.6	1.6	1
13A11231	Zucchini, green skin, boiled, no added salt, drained	75	1	0.3	0.1	1.9	1.9	1
13A11232	Zucchini, green skin, stir-fried, no added fat	90	1.2	0.4	0.1	2.2	2.2	1
13A11236	Radish, white skinned, peeled, raw	90	0.7	0.3	0	2.9	2.9	28
13A11237	Broccoli, fresh, stir-fried, no added fat	153	5.4	0.3	0.1	0.5	0.5	27
13A11238	Carrot, mature, peeled, baked, no added fat	168	1	0.1	0	6	6	48
13A11243	Broccoflower, raw	113	3.3	0.2	0	1.1	1.1	27
13A11257	Potato, fries, homemade - fresh or frozen, baked, no added fat	389	3.3	0.1	0	17.6	1.3	6
13A11265	Tomato paste, no added salt	296	3.1	0.3	0.1	10.4	9.9	54
13A11266	Broccoflower, boiled, no added salt, drained	131	3.7	0.3	0	1.3	1.3	28
13A11269	Capsicum, green, boiled or steamed, no added salt	100	1.7	0.1	0	2.6	2.6	2
13A11270	Capsicum, red, boiled or steamed, no added salt	117	1.6	0.2	0	3.7	3.7	2
13A11272	Carrot, mature, peeled, stir-fried, no added fat	168	1	0.1	0	6	6	48
13A11273	Cauliflower, stir-fried, no added fat	119	2.5	0.2	0	2.3	2.3	37
13A11274	Mushroom, common, boiled or steamed, no added salt	129	5	0.4	0.1	0.4	0.4	11
13A11275	Sweet potato, orange flesh, peeled, stir-fried, no added fat	402	2.6	0.1	0	19.3	7.7	14
13A11277	Onion, spring, boiled or steamed, no added salt	146	1.9	0.2	0	5.1	5	14
13A11278	Onion, spring, baked or roasted, no added fat	159	2	0.2	0	5.5	5.4	16
13A11279	Parsley, boiled, no added salt, drained	126	2.8	0.3	0	0.6	0.6	65
13A11280	Pea, green, fresh, stir-fried with no added fat	339	6.6	0.5	0.1	9.2	4.5	2
13A11282	Cabbage, white, stir-fried, no added fat	125	1.8	0.1	0	3.8	3.8	16
13A11283	Sweetcorn, fresh on cob, stir-fried, no added fat	444	4.3	2.2	0.2	13.9	4.1	3
13A11284	Sweetcorn, canned in brine, drained, stir-fried, no added fat	438	3.3	1.1	0.1	18.7	3.9	291
13A11291	Sweetcorn, baby, canned in brine, drained, stir-fried, no added fat	119	1.8	0.2	0.1	2.8	1.8	389
13A11292	Cabbage, red, stir-fried, no added fat	139	2.4	0.3	0.1	3	3	18
13A11294	Potato, wedges, homemade - fresh or frozen, peeled, baked, no added fat	412	3.5	0.1	0	18.7	1.4	6
13A11297	Bean, green, fresh, stir-fried, no added fat	146	2.9	0.3	0	3.1	1.6	3
13A11298	Bamboo shoot, canned in water, drained, stir-fried, no added fat	72	0.9	0	0	1.6	1	12
13A11300	Eggplant, stir-fried, no added fat	122	1.4	0.4	0.1	3.3	3.3	6
13A11301	Leek, stir-fried, no added fat	207	3	0.6	0.1	5.3	5.3	25
13A11302	Silverbeet, stir-fried, no added fat	102	2.3	0.3	0.1	1.6	1.6	303
13A11304	Shallot, peeled, boiled, no added salt	120	1.7	0.2	0	3.6	3.6	60
13A11305	Spinach, English, stir-fried, no added fat	118	3.7	0.5	0.1	0.9	0.9	33
13A11306	Basil, green, dried	1079	18.2	5.5	1	15.5	0	112
13A11307	Bamboo shoot, canned in water, heated, drained	58	0.8	0	0	1.3	0.8	10
13A11310	Mixed vegetables (peas & corn), purchased frozen, boiled, no added salt, drained	367	4.5	0.7	0.1	13	2.3	6
13A11311	Kale, raw	93	1.7	0.1	0	2.3	2.3	23
13A11312	Kale, boiled, no added salt, drained	96	1.8	0.1	0	2.4	2.4	23
13A11314	Swede, peeled, baked, no added fat	118	1.1	0	0	4.5	4.1	15
13A11315	Tomato, common, stir-fried, no added fat	105	1.3	0.1	0	3.2	3.1	10
13A11317	Celeriac, peeled, stir-fried, no added fat	156	2	0.2	0	3.4	3.4	26
13A11318	Coriander, dried	1304	23.8	5.4	0.9	28.5	19.2	215
13A11319	Mint, raw	119	2	0.6	0.1	1.7	0	13
13A11320	Mint, dried	1079	18.2	5.5	1	15.5	0	112
13A11321	Mixed herbs, dried	1064	16.5	4.1	0.7	17.8	7.4	187
13A11322	Parsley, dried	1130	21.5	6.3	0.3	11.7	10	450
13A11323	Mixed herbs, fresh	128	2.4	0.5	0.1	1.9	0.8	28
13A11325	Tomato puree, no added salt	146	1.3	0.1	0	6	4	68
13A11327	Turnip, white, peeled, baked, no added fat	120	1.6	0	0	4.1	3.9	29
13A11329	Tomato puree, with added salt	146	1.3	0.1	0	6	4	68
13A11332	Zucchini, green skin, baked, no added fat	79	1	0.3	0.1	2	2	1
13A11339	Spinach, water (ung choi), stir-fried, no added fat	160	4.1	0.7	0.1	1.4	0.7	36
13A11358	Potato, wedges, homemade - fresh or frozen, unpeeled, baked, no added fat	393	2.8	0.5	0.1	17.8	0	45
13A11361	Seaweed, nori, dried	1689	57.5	7.7	2.6	23.4	3.1	1048
13A11362	Beetroot, fresh, peeled, baked, no added fat	238	2.1	0.1	0	9.4	9.4	60
13A11365	Taro, peeled, baked, no added fat	574	2.3	0.2	0	28.5	1.3	7
13A11366	Taro, peeled, stir-fried, no added fat	574	2.3	0.2	0	28.5	1.3	7
13A11369	Broccoli, fresh, baked, no added fat	153	5.4	0.3	0.1	0.5	0.5	27
13A11372	Sweet potato, white flesh, peeled, raw	315	1.3	0.1	0	15.9	4.8	12
13A11373	Sweet potato, white flesh, peeled, boiled, no added salt, drained	339	1.4	0.1	0	17.1	5.2	12
13A11376	Horseradish, raw	324	4.5	0.3	0.1	10.4	7	8
13A11377	Garlic, dried, powder or flakes	1461	16.8	0.8	0.2	62.8	24.3	26
13A11379	Melon, bitter, boiled or steamed, no added salt	50	1	0	0	0.2	0.1	3
13A11381	Okra, boiled, drained	100	1.9	0.2	0	2.4	2.4	2
13A11382	Onion, dried	1061	13.7	0.8	0.2	37.2	37.2	89
13A11383	Sauerkraut, canned in brine, drained	66	1.1	0.2	0	1.1	1.1	590
13A11384	Seaweed, nori, poached	563	19.2	2.6	0.9	7.8	1	332
13A11385	Sprout, snowpea, raw	154	2.9	0.2	0	4.5	2.8	1
13A11386	Sprout, bean, stir-fried, no added fat	100	3.1	0.1	0	1.6	1	1
13A11388	Potato, chips, low fat varieties, par-fried in canola oil, purchased frozen, baked with no added fat	507	2.9	4	0.3	16.6	1.7	58
13A11390	Potato, wedges, low fat varieties, par-fried in canola oil, purchased frozen, baked with no added fat	574	3.4	4.6	0.3	18.5	1.9	66
13A11396	Tomato, semi-dried without oil	1038	11.2	1.5	0.4	35.2	33.9	73
13A11397	Potato, skins, baked, no added fat	853	6	1.1	0.2	38.6	0	97
13A11400	Rosemary, Raw	498	3.3	5.9	2.8	6.6	6.3	26
13A11405	Artichoke, Jerusalem, peeled, raw	271	2.1	0.1	0	10.5	2.7	5
13A11413	Avocado, fuerte, raw	994	2	25.4	4.6	0.2	0.2	2
13A11424	Carrot, baby, peeled, raw	141	0.7	0.1	0	5.5	5.5	51
13A11426	Cassava, white flesh, peeled, raw	647	0.6	0.3	0	34.1	1.2	2
13A11436	Cucumber, telegraph, unpeeled, raw	58	1.2	0.1	0	1.4	1.4	16
13A11437	Cucumber, apple crystal, unpeeled, raw	44	0.5	0.1	0	0.9	0.9	19
13A11459	Sweetcorn, kernels, purchased frozen, boiled in brine, drained	395	3.1	1	0.1	16.5	2.6	110
13A11464	Pea, green, purchased frozen, boiled, no added salt, drained	261	5.2	0.3	0.1	6.4	2.5	3
13A11468	Pumpkin, golden nugget, peeled, raw	127	2.2	0.3	0	4	2.6	1
13A11469	Pumpkin, Queensland blue, peeled, raw	213	2	0.3	0.1	8.4	4.9	2
13A11473	Pumpkin, jarrahdale, peeled, raw	118	0.8	0.1	0	5	5	0
13A11478	Tomato, hydroponic, raw	63	0.7	0	0	2.3	2.3	3
13A11489	Potato, new, peeled, boiled, no added salt	277	2.5	0.1	0	12.8	0.4	3
13A11490	Potato, sebago, peeled, raw	305	2.5	0.2	0	13.8	0.4	4
13A11491	Potato, sebago, unpeeled, boiled, no added salt	262	2.2	0	0	12.2	0	5
13A11493	Potato, sebago, peeled, mashed, no added ingredients	287	2.5	0.4	0	13.1	1	8
13A11495	Potato, pontiac, peeled, raw	279	2.4	0.1	0	12.6	0.7	2
13A11496	Potato, coliban, peeled, raw	245	2	0	0	11.5	1	4
13A11497	Potato, desiree, peeled, raw	244	2.3	0	0	10.7	1.7	5
13A11504	Potato, chips, regular, par-fried in animal fat, purchased frozen, baked with no added fat	1192	4.8	8.1	4.2	44.5	0.2	60
13A11509	Potato, chips, regular, par-fried in canola oil, purchased frozen, baked with no added fat	1192	4.8	8.1	0.6	44.5	0.2	60
13A11510	Artichoke heart, canned in brine, drained	107	1.9	0.3	0	1.2	1.1	280
13A11516	Bean, red, seed only, fresh, raw	565	12.8	0.4	0.1	14.7	1.2	3
13A11517	Broccoli, purchased frozen, boiled, no added salt, drained	125	2.7	0.3	0	2	1.4	19
13A11518	Brussels sprout, purchased frozen, boiled, no added salt, drained	191	3.2	0.3	0	4.6	3.1	25
13A11519	Cabbage, Chinese flowering, raw	72	1.3	0.3	0	0.9	0.8	13
13A11520	Cabbage, Chinese (napa or peking), raw	45	1.1	0	0	0.9	0.9	6
13A11521	Cabbage, mustard, raw	78	2.3	0.3	0	0.7	0.7	3
13A11523	Cabbage, red, canned, heated, drained	178	1.4	0.2	0	6.7	6.2	360
13A11533	Watercress, raw	112	2.9	0.4	0	0.8	0.7	48
13A11534	Zucchini, golden, raw	81	2.2	0.3	0	1.1	1.1	1
13A11539	Kohlrabi, peeled, raw	168	3.7	0.1	0	4.2	4.2	16
13A11541	Melon, hairy, raw	63	0.7	0	0	2	1.7	2
13A11542	Radish, red skinned, unpeeled, raw	64	0.8	0.2	0	1.9	1.9	20
13A11545	Artichoke, Jerusalem, peeled, boiled	292	2.3	0.1	0	11.3	2.9	5
13A11555	Carrot, baby, peeled, boiled, no added salt, drained	151	0.8	0.1	0	5.9	5.9	52
13A11557	Cassava, white flesh, peeled, boiled, no added salt, drained	696	0.6	0.3	0	36.7	1.3	2
13A11563	Chilli (chili), green, stir-fried, no added fat	204	3.1	0.3	0.1	1.1	1.1	4
13A11568	Ginger, peeled, stir-fried, no added fat	216	1.3	0.6	0.1	7.7	2.7	18
13A11575	Onion, mature, brown skinned, peeled, stir-fried, no added fat	213	2.8	0.2	0	7.5	7.5	17
13A11578	Shallot, peeled, stir-fried, no added fat	175	2.5	0.2	0	5.2	5.2	87
13A11581	Pumpkin, golden nugget, peeled, baked, no added fat	149	2.6	0.4	0	4.7	3.1	1
13A11583	Pumpkin, Queensland blue, peeled, baked, no added fat	251	2.4	0.4	0	9.9	5.8	2
13A11585	Pumpkin, butternut, peeled, baked, no added fat	240	2.6	0.7	0.1	8.5	6.4	1
13A11588	Pumpkin, jarrahdale, peeled, boiled, no added salt, drained	123	0.8	0.1	0	5.2	5.2	0
13A11589	Pumpkin, jarrahdale, peeled, baked, no added fat	139	0.9	0.1	0	5.9	5.9	0
13A11596	Snowpea, boiled, no added salt, drained	165	3.1	0.2	0	4.8	3	1
13A11597	Potato, new, peeled, baked	421	3.5	0.2	0	19.4	0.8	5
13A11599	Potato, pontiac, peeled, boiled, no added salt	285	2.4	0.1	0	12.9	0.7	2
13A11600	Potato, pontiac, peeled, baked, no added fat	423	3.6	0.2	0	19.1	1.1	3
